2020-01-12 12:19:48.7044||Initializing database..|INFO|   |url: |action: 
2020-01-12 12:19:49.7685||...done|INFO|   |url: |action: 
2020-01-12 12:19:49.7689||Seeding database..|INFO|   |url: |action: 
2020-01-12 12:19:51.5110||...done|INFO|   |url: |action: 
2020-01-12 12:19:51.6497||Hangfire.SqlServer.SqlServerObjectsInstaller|INFO|  Start installing Hangfire SQL objects... |url: |action: 
2020-01-12 12:19:51.6892||Hangfire.SqlServer.SqlServerObjectsInstaller|INFO|  Hangfire SQL objects installed. |url: |action: 
2020-01-12 12:19:51.7177||Hangfire.BackgroundJobServer|INFO|  Starting Hangfire Server using job storage: 'SQL Server: localhost@impera_dev' |url: |action: 
2020-01-12 12:19:51.7177||Hangfire.BackgroundJobServer|INFO|  Using the following options for SQL Server job storage: Queue poll interval: 00:00:15. |url: |action: 
2020-01-12 12:19:51.7177||Hangfire.BackgroundJobServer|INFO|  Using the following options for Hangfire Server:
    Worker count: 2
    Listening queues: 'critical', 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:30 |url: |action: 
2020-01-12 12:19:51.7443||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop BackgroundServerProcess:3cee6975 has started in 10.182 ms |url: |action: 
2020-01-12 12:19:51.7704||Hangfire.Server.BackgroundServerProcess|TRACE|  Server 9e5e73f4-1528-44d3-9f87-6aace3c4d6b3 is announcing itself... |url: |action: 
2020-01-12 12:19:51.8521||Hangfire.Server.BackgroundServerProcess|INFO|  Server 9e5e73f4-1528-44d3-9f87-6aace3c4d6b3 successfully announced in 80.8243 ms |url: |action: 
2020-01-12 12:19:51.8587||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ServerHeartbeatProcess:1bf7a6c8 has started in 4.998 ms |url: |action: 
2020-01-12 12:19:51.8599||Hangfire.Server.BackgroundServerProcess|INFO|  Server 9e5e73f4-1528-44d3-9f87-6aace3c4d6b3 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler... |url: |action: 
2020-01-12 12:19:51.8853||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ServerWatchdog:966c52c7 has started in 25.0404 ms |url: |action: 
2020-01-12 12:19:51.8853||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ServerJobCancellationWatcher:36d9f0ec has started in 24.9969 ms |url: |action: 
2020-01-12 12:19:51.9102||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop ExpirationManager:a83e302c has started in 24.7887 ms |url: |action: 
2020-01-12 12:19:51.9102||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop CountersAggregator:3c9efe72 has started in 24.575 ms |url: |action: 
2020-01-12 12:19:51.9102||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop Worker:0a94a2a5 has started in 24.4799 ms |url: |action: 
2020-01-12 12:19:51.9350||Hangfire.Server.BackgroundServerProcess|INFO|  Server 9e5e73f4-1528-44d3-9f87-6aace3c4d6b3 all the dispatchers started |url: |action: 
2020-01-12 12:19:51.9377||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop Worker:148b9214 has started in 51.8257 ms |url: |action: 
2020-01-12 12:19:51.9377||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop DelayedJobScheduler:c4346bb1 has started in 27.7479 ms |url: |action: 
2020-01-12 12:19:51.9377||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop RecurringJobScheduler:9f973007 has started in 27.6642 ms |url: |action: 
2020-01-12 12:19:51.9390||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
